id,frame,idv_type,v,acc,x,lane_index,vehicle_sum,p_vehicle_sum
d2_13,38,car60,38.9999,0.4356,259.6531,2,5,0
d2_11,38,car219,36.7594,0.2597,796.1869,2,5,0
d2_10,38,car374,36.1337,-0.1691,918.0777,2,5,0
d2_8,38,car331,45.4186,0.1915,1567.7514,2,5,0
d2_15,39,truck63,24.7682,0.2638,36.4605,2,6,0
d2_14,39,car228,35.7217,1.1963,115.4863,2,6,0
d2_13,39,car60,39.4629,0.4196,298.9433,2,6,0
d2_11,39,car219,36.9975,0.0408,833.1396,2,6,0
d2_10,39,car374,36.2295,0.2452,954.2399,2,6,0
d2_8,39,car331,45.4918,-0.0468,1613.2333,2,6,0
d2_15,40,truck63,25.0528,0.2723,61.4084,2,6,0
d2_14,40,car228,36.6355,0.822,151.8027,2,6,0
d2_13,40,car60,39.841,0.2705,338.6592,2,6,0
d2_11,40,car219,36.9818,0.1074,870.1115,2,6,0
d2_10,40,car374,36.3993,0.2236,990.5657,2,6,0
d2_8,40,car331,45.5111,0.0034,1658.7344,2,6,0
d2_15,41,truck63,25.3175,0.2482,86.6306,2,6,0
d2_14,41,car228,37.4422,0.8448,188.9348,2,6,0
d2_13,41,car60,40.0136,0.2948,378.6027,2,6,0
d2_11,41,car219,37.0162,0.1613,907.1055,2,6,0
d2_10,41,car374,36.648,0.2811,1027.1124,2,6,0
d2_8,41,car331,45.4584,-0.0644,1704.2109,2,6,0
d2_15,42,truck63,25.5657,0.2058,112.1085,2,6,0
d2_14,42,car228,38.3011,0.9307,226.8989,2,6,0
d2_13,42,car60,40.0024,-0.0013,418.6175,2,6,0
d2_11,42,car219,36.9263,-0.1312,944.0675,2,6,0
d2_10,42,car374,36.6074,-0.0339,1063.7257,2,6,0
d2_8,42,car331,45.4118,0.0201,1749.6289,2,6,0
d2_15,43,truck63,25.7167,0.1411,137.7745,2,6,0
d2_14,43,car228,39.0913,0.7464,265.7082,2,6,0
d2_13,43,car60,40.0041,-0.0335,458.6257,2,6,0
d2_11,43,car219,36.6744,-0.3479,980.857,2,6,0
d2_10,43,car374,36.5527,0.0434,1100.2821,2,6,0
d2_8,43,car331,45.34,-0.1457,1795.0153,2,6,0
d2_15,44,truck63,25.8316,0.0788,163.5686,2,6,0
d2_14,44,car228,39.7517,0.5653,305.2374,2,6,0
d2_13,44,car60,39.9731,-0.0498,498.6176,2,6,0
d2_11,44,car219,36.6354,0.2032,1017.4595,2,6,0
d2_10,44,car374,36.6749,0.0576,1136.9161,2,6,0
d2_8,44,car331,45.1184,-0.17,1840.2156,2,6,0
d2_15,45,truck63,25.8818,0.0905,189.4326,2,6,0
d2_14,45,car228,40.0871,0.3274,345.2048,2,6,0
d2_13,45,car60,40.0261,0.0977,538.6081,2,6,0
d2_11,45,car219,36.7488,0.0649,1054.1742,2,6,0
d2_10,45,car374,36.6837,0.042,1173.6006,2,6,0
d2_8,45,car331,45.0137,-0.1607,1885.2711,2,6,0
