step,vid,lat_ms,ade,fde,acc_0.5m,acc_1.0m,acc_2.0m,prec_0.5m,prec_1.0m,prec_2.0m,gt_frames
458,17,2.52,179.8146,288.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
459,9,2.53,39.2771,86.8503,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
459,10,2.51,109.3499,147.4005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
465,15,2.55,7.9840,14.5456,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
468,16,2.51,137.1466,217.4149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
483,17,2.57,178.1988,259.1483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
484,10,2.55,91.3810,124.1929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
490,15,2.53,7.1850,8.8440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
493,16,2.52,133.3910,193.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
502,18,2.52,187.3930,301.9306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
505,19,2.54,19.5481,75.2206,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
508,17,2.52,168.4878,222.4293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
510,20,2.50,180.7371,290.5909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
515,15,2.49,10.5528,33.3726,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
518,16,2.49,124.5320,168.7159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
520,21,2.48,151.4901,242.6198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
527,18,2.60,185.3867,271.6794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
530,19,2.54,21.2657,77.2496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
533,17,2.52,150.7904,185.6716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
535,20,2.48,182.3928,290.5612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
540,15,2.51,19.7913,58.1681,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
543,16,2.57,110.1492,144.3475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
545,21,2.49,152.3906,243.4501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
552,18,2.67,174.8429,231.7090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
555,19,2.53,19.5316,47.7693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
558,17,2.55,125.1246,148.8845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
560,20,2.54,178.6626,253.0722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
562,22,2.53,21.1580,79.6532,0.0000,0.0500,0.1000,0.0000,0.0500,0.1000,20
565,15,2.55,34.6934,82.8097,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
568,16,2.54,90.4141,120.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
570,21,2.52,153.3160,244.3605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
577,18,2.64,155.8981,191.9399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
580,19,2.56,9.5734,10.3093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
585,20,2.54,166.5681,215.4217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
586,23,2.73,11.8004,51.1821,0.0500,0.1000,0.2000,0.0500,0.1000,0.2000,20
587,22,2.70,22.6276,76.9539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
594,24,2.75,170.7513,273.4757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
594,25,2.71,154.8940,247.8397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
595,21,2.68,154.4040,245.3192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
602,18,2.91,128.4961,152.3013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
605,19,2.64,16.5212,27.1408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
610,20,2.65,146.2246,177.7586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
611,23,2.54,13.3209,53.1938,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
612,22,2.52,18.0954,38.5605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
619,24,2.78,172.0480,274.7453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
619,25,2.55,156.2113,249.0805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
620,21,2.80,155.4402,246.2588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
627,18,2.92,92.4877,112.6709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
627,26,2.58,167.3299,268.1451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
630,19,2.73,39.0348,64.7007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
635,20,2.62,117.7808,140.1645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
636,23,2.56,14.9281,55.3157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
637,22,2.54,5.5146,0.6244,0.0000,0.3500,0.4000,0.0000,0.3500,0.4000,20
639,27,2.65,130.1260,217.0340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
644,24,2.56,173.5694,276.1472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
644,25,3.27,157.4456,250.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
645,21,3.13,155.7196,236.7793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
650,28,3.21,10.3572,45.6934,0.0500,0.1000,0.2000,0.0500,0.1000,0.2000,20
652,26,3.06,169.2138,270.3570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
661,23,2.72,16.0783,49.0773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
662,22,2.54,22.3788,37.6308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
664,27,2.53,131.5400,217.8331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
669,24,2.67,171.2543,246.2382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
669,25,2.60,158.5308,251.1317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
670,21,2.56,143.9209,202.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
675,28,2.67,11.7466,47.2836,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
676,29,2.60,24.5102,90.0031,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
677,26,2.59,171.1894,272.5191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
686,23,2.58,11.4361,16.3164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
687,22,2.50,48.5199,76.0998,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
687,30,2.67,12.8897,54.7912,0.0500,0.1000,0.1500,0.0500,0.1000,0.1500,20
689,27,2.49,132.3279,218.5393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
694,24,2.49,161.5012,212.0781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
694,25,2.46,159.5299,252.1723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
695,21,2.70,133.0749,174.2292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
700,28,2.66,13.1141,49.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
701,29,2.71,24.4689,68.7536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
702,26,2.59,172.0127,260.4810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
702,31,2.57,22.8874,85.0106,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
707,32,2.61,6.8661,21.8342,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
711,23,2.60,11.3119,16.5808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
712,30,2.59,14.3688,57.0006,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
714,27,2.51,132.9111,219.3211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
719,24,2.52,144.4783,178.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
719,25,2.47,158.0754,230.3632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
720,21,2.51,116.2324,146.5002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
725,28,2.65,14.5963,50.9012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
726,29,2.66,15.9692,28.5457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
727,26,2.60,166.2706,227.1926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
727,31,2.59,24.0827,75.8910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
732,32,2.60,8.1587,23.2208,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
736,23,2.83,29.0195,57.8123,0.0500,0.1500,0.2500,0.0500,0.1500,0.2500,20
737,30,2.62,16.2261,59.8105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
739,27,2.57,132.8431,220.0904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
744,24,2.61,111.3833,135.3766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
744,25,2.58,143.2009,194.1329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
745,21,2.61,93.3031,118.7816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
750,28,2.63,12.7190,23.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
751,29,2.58,9.5322,11.8445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
752,26,2.52,153.2017,193.7940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
752,31,2.47,18.0595,36.5313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
757,32,2.56,9.4698,24.8038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
761,23,2.53,54.9741,90.9812,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
762,30,2.47,16.3573,42.4312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
763,33,2.49,15.6330,63.4690,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
764,27,2.46,133.9349,220.9726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
769,25,2.67,129.6054,165.2912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
775,28,2.50,8.6152,8.3013,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
776,29,2.46,32.3961,52.3478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
777,26,2.49,124.2338,151.8353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
777,31,2.45,5.8306,2.9405,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
782,32,2.47,10.7238,26.6821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
787,30,2.48,9.4692,9.0977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
788,33,2.47,17.3248,65.5390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
789,27,2.47,129.2952,216.0364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
794,25,2.62,109.7504,136.4302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
800,28,2.67,21.8751,47.8504,0.0500,0.1000,0.2000,0.0500,0.1000,0.2000,20
801,29,2.62,64.1119,93.0464,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,20
802,26,2.61,96.3111,118.1865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
802,31,2.59,25.5782,42.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
807,32,2.66,11.9748,28.5620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
812,30,2.66,14.6513,24.5740,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
813,33,2.61,18.7253,63.1894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
814,27,2.60,130.0089,216.8989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
816,34,2.53,16.2309,65.4189,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
817,35,2.48,31.6730,94.3605,0.0000,0.0500,0.1000,0.0000,0.0500,0.1000,20
819,25,2.50,83.5624,107.5202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
822,36,2.50,196.3150,256.1798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
825,28,2.52,44.2130,79.7305,0.0000,0.0000,0.1000,0.0000,0.0000,0.1000,20
827,31,2.48,53.7689,81.9990,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
832,32,2.65,13.2614,30.3849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
837,30,2.64,36.8149,67.0618,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
838,33,2.50,14.7634,28.2704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
839,27,2.48,130.4237,214.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
839,37,2.46,146.1841,235.2186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
841,34,2.47,17.9663,67.6189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
842,35,2.48,24.2897,50.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
846,38,2.50,31.0301,101.7225,0.0000,0.0500,0.1000,0.0000,0.0500,0.1000,20
847,36,2.46,169.2235,204.1990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
857,32,2.49,5.2556,3.5296,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
862,30,2.49,66.5902,101.6711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
862,39,2.46,6.9056,13.5615,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
863,33,2.45,8.0051,6.9864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
864,27,2.45,127.2823,191.4238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
864,37,2.43,147.0268,236.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
866,34,2.46,19.4828,65.3889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
